Player,Age,Tm,MP,TRB,AST,STL,BLK,PS/G,PER,TS%,USG%,Year,box,W/L%,playoffs,Share,got_votes,gp_pct
Lamar Odom,25,LAL,36.3,10.2,3.7,0.7,1.0,15.2,17.3,0.539,20.8,2005,15.599999999999998,0.415,0,0.0,0,0.7804878048780488
Mehmet Okur,25,UTA,28.1,7.5,2.0,0.4,0.8,12.9,18.9,0.569,21.3,2005,10.700000000000001,0.317,0,0.0,0,1.0
Tayshaun Prince,24,DET,37.1,5.3,3.0,0.7,0.9,14.7,16.2,0.556,18.8,2005,9.9,0.659,1,0.0,0,1.0
Tony Parker,22,SAS,34.2,3.7,6.1,1.2,0.1,16.6,18.0,0.528,25.1,2005,11.1,0.72,1,0.0,0,0.975609756097561
Ruben Patterson,29,POR,28.0,3.9,2.0,1.5,0.3,11.6,15.8,0.5579999999999999,20.4,2005,7.7,0.32899999999999996,0,0.0,0,0.8536585365853658
Gary Payton,36,BOS,33.0,3.1,6.1,1.1,0.2,11.3,15.1,0.537,17.0,2005,10.499999999999998,0.5489999999999999,1,0.0,0,0.9390243902439024
Morris Peterson,27,TOR,30.6,4.1,2.1,1.1,0.2,12.5,14.4,0.5429999999999999,18.9,2005,7.499999999999999,0.402,0,0.0,0,1.0
Paul Pierce,27,BOS,36.1,6.6,4.2,1.6,0.5,21.6,21.8,0.583,26.6,2005,12.9,0.5489999999999999,1,0.0,0,1.0
James Posey,28,MEM,27.6,4.4,1.8,1.0,0.5,8.1,10.5,0.5,16.2,2005,7.7,0.5489999999999999,1,0.0,0,0.6097560975609756
Allan Houston,33,NYK,26.6,1.2,2.1,0.4,0.1,11.9,12.5,0.529,21.0,2005,3.8,0.402,0,0.0,0,0.24390243902439024
Grant Hill,32,ORL,34.9,4.7,3.3,1.4,0.4,19.7,20.0,0.565,24.8,2005,9.8,0.439,0,0.0,0,0.8170731707317073
Gerald Wallace,23,CHA,34.5,7.5,1.7,2.5,2.1,15.2,21.3,0.578,19.3,2006,13.799999999999999,0.317,0,0.0,0,0.6707317073170732
Chris Webber,30,SAC,36.1,8.7,4.6,1.3,0.9,18.7,17.2,0.456,28.9,2004,15.5,0.6709999999999999,1,0.0,0,0.2804878048780488
David Wesley,33,NOH,32.8,2.2,2.9,1.2,0.2,14.0,12.6,0.483,22.4,2004,6.5,0.5,1,0.0,0,0.7439024390243902
Alvin Williams,29,TOR,30.9,2.7,4.0,1.0,0.2,8.8,11.4,0.46299999999999997,17.1,2004,7.9,0.402,0,0.0,0,0.6829268292682927
Jason Williams,28,MEM,29.4,2.0,6.8,1.3,0.1,10.9,16.9,0.517,19.0,2004,10.200000000000001,0.61,1,0.0,0,0.8780487804878049
Metta World Peace,24,IND,37.2,5.3,3.7,2.1,0.7,18.3,18.2,0.511,26.2,2004,11.799999999999999,0.7440000000000001,1,0.0,0,0.8902439024390244
Lorenzen Wright,28,MEM,25.8,6.8,1.1,0.7,0.9,9.4,14.0,0.474,19.4,2004,9.5,0.61,1,0.0,0,0.7926829268292683
